MOD13-COORDIALIDAD,BQAD500525AS13.colombiamovil.corp,COORDIALIDAD,2012,BQAD500525AS13.COLOMBIAMOVIL.CORP,
ADM-COORDIALIDAD,RBQAD500525AD01.colombiamovil.corp,COORDIALIDAD,2012,RBQAD500525AD01.COLOMBIAMOVIL.CORP,
CRD-COORDIALIDAD,Admincmovil/PC,COORDIALIDAD,2012,ADMINCMOVIL/PC,
BOD-COORDIALIDAD, BQAD500525AS14.colombiamovil.corp,COORDIALIDAD,2012, BQAD500525AS14.COLOMBIAMOVIL.CORP,
ADM-ARRECIFE,SAMD500519AD,ARRECIFE,2012,SAMD500519AD,
CRD-ARRECIFE,SMTD500519CO01,ARRECIFE,2012,SMTD500519CO01,
BOD-ARRECIFE,RSNTD500519BO01,ARRECIFE,2012,RSNTD500519BO01,
MOD01-ARRECIFE,RSNTD500519AS01,ARRECIFE,2012,RSNTD500519AS01,
MOD02-ARRECIFE,RSNTD500519AS02,ARRECIFE,2012,RSNTD500519AS02,
MOD03-ARRECIFE,RSNTD500519AS03,ARRECIFE,2012,RSNTD500519AS03,
MOD04-ARRECIFE,RSNTD500519AS04,ARRECIFE,2012,RSNTD500519AS04,
MOD05-ARRECIFE,RSNTD500519AS05,ARRECIFE,2012,RSNTD500519AS05,
MOD06-ARRECIFE,SMTD5000519AS01,ARRECIFE,2012,SMTD5000519AS01,
MOD02(ST)-VALLEDUPAR,VALD5000040AD01,VALLEDUPAR,2012,VALD5000040AD01,
DGT-VALLEDUPAR,VALD5000040DI01,VALLEDUPAR,2012,VALD5000040DI01,
MOD01-VALLEDUPAR,VALD5000040AS14,VALLEDUPAR,2012,VALD5000040AS14,
MOD03-VALLEDUPAR,VALD5000040AS01,VALLEDUPAR,2012,VALD5000040AS01,
MOD04-VALLEDUPAR,RVALD500040AS04,VALLEDUPAR,2012,RVALD500040AS04,
MOD05-VALLEDUPAR,VALD5000040AS16,VALLEDUPAR,2012,VALD5000040AS16,
MOD06-VALLEDUPAR,RVALD500040AS06,VALLEDUPAR,2012,RVALD500040AS06,
MOD07-VALLEDUPAR,RVALD500040AS07,VALLEDUPAR,2012,RVALD500040AS07,
MOD08-VALLEDUPAR,VALD5000040AS15,VALLEDUPAR,2012,VALD5000040AS15,
MOD09-VALLEDUPAR,RVALD500040AS09 ,VALLEDUPAR,2012,RVALD500040AS09 ,
MOD10-VALLEDUPAR,RVALD500040AS10,VALLEDUPAR,2012,RVALD500040AS10,
MOD11-VALLEDUPAR,VALD5000040AS09,VALLEDUPAR,2012,VALD5000040AS09,
MOD12-VALLEDUPAR,RVALD5000040AS12,VALLEDUPAR,2012,RVALD5000040AS12,
MOD13-VALLEDUPAR,VALD5000040AS17,VALLEDUPAR,2012,VALD5000040AS17,
BOD-VALLEDUPAR,COORDINACION.,VALLEDUPAR,2012,COORDINACION.,
MOD01-SOLEDAD,RSOLD500426AS01.COLOMBIAMOVIL.CORP,SOLEDAD,2012,RSOLD500426AS01.COLOMBIAMOVIL.CORP,
